,datum,dangerLevel,elevation_th,HN72_24,HN24_7d,Pen_depth,HN24,min_ccl_pen,RH,wind_trans24_3d,wind_trans24,wind_trans24_7d,warnreg
6,1997-11-11,2.0,2000.0,54.171375,107.07,42.12068854785576,31.5135,0.18,94.375,6.6,4.150375,29.01,15.0
9,1997-11-12,2.0,2300.0,69.65562499999999,104.03,29.9369335830674,36.570125,0.21,88.75,5.05,1.358,15.72,15.0
16,1997-11-12,3.0,2000.0,102.098125,150.7,37.15960703439754,54.27200000000001,0.24,93.375,112.12,105.515,132.03,15.0
18,1997-11-12,2.0,2300.0,80.960375,136.84,39.27516034083432,43.52812500000001,0.2,81.875,0.0,0.0,4.9,15.0
26,1997-11-13,2.0,2300.0,61.764875,101.7,26.552468144994588,0.574625,0.28,60.625,15.61,11.662125,23.97,15.0
30,1997-11-13,2.0,2000.0,100.001625,153.89,31.85284427324665,14.215875,0.26,90.125,129.82,20.155375,136.1,15.0
31,1997-11-13,2.0,2000.0,21.873875,50.43,21.596471979682704,2.823875,0.26,58.75,51.05,7.0755,112.38,15.0
33,1997-11-13,2.0,2300.0,75.03674999999998,128.42,28.96212479097773,3.872625,0.22,61.25,0.0,0.0,0.73,15.0
39,1997-11-14,2.0,2300.0,17.330750000000002,39.79,19.49277703545819,0.300625,0.29,30.125,39.97,0.5455,89.48,15.0
40,1997-11-14,2.0,2300.0,37.144625,91.8,24.09554183814956,0.0,0.31,31.25,18.31,5.290999999999999,28.09,15.0
43,1997-11-14,2.0,2300.0,47.400875000000006,114.33,25.27742520809963,0.0,0.24,33.125,12.48,12.4785,12.48,15.0
46,1997-11-15,2.0,2000.0,6.512250000000001,38.46,19.49072364959885,3.387625,0.29,86.0,14.78,7.154499999999999,85.86,15.0
47,1997-11-15,2.0,2300.0,2.5987500000000003,85.87,24.544934765088986,2.024125,0.32,71.375,27.31,10.35775,36.04,15.0
51,1997-11-15,2.0,2300.0,7.762625000000001,107.74,25.31059694984931,3.89,0.31,77.375,52.23,39.756125,52.23,15.0
59,1997-11-16,2.0,2200.0,4.112,74.34,19.62950652854146,2.087875,0.36,54.25,73.76,58.1075,90.46,15.0
61,1997-11-16,2.0,2200.0,6.407875,91.24,20.737868226124448,2.517625,0.35,56.625,67.26,15.029749999999996,67.26,15.0
62,1997-11-16,2.0,2200.0,4.116875,31.48,18.17241496853716,0.428625,0.31,57.625,8.81,1.112,71.39,15.0
66,1997-11-17,2.0,2200.0,4.112,65.88,18.518848630572368,0.0,0.38,32.125,70.59,2.125875,91.5,15.0
69,1997-11-17,2.0,2200.0,6.407875,81.44,18.92802808086893,0.0,0.4,22.875,55.97,1.182625,68.45,15.0
71,1997-11-17,2.0,2200.0,8.775250000000002,108.78,23.82352947497668,0.0,0.35,24.25,71.65,9.985,259.41,15.0
76,1997-11-17,2.0,2200.0,5.43425,27.61,18.18361926565501,1.61825,0.32,27.875,10.53,2.2645000000000004,62.12,15.0
78,1997-11-18,1.0,2200.0,2.188,22.91,16.639439792262202,0.141125,0.35,33.0,3.7,0.3235,50.82,15.0
79,1997-11-18,1.0,2200.0,2.517625,53.81,17.795579715327946,0.0,0.42,31.25,49.74,33.5235,101.97,15.0
80,1997-11-18,1.0,2200.0,2.087875,41.26,17.390217811291482,0.0,0.4,37.875,60.9,0.6667500000000001,89.57,15.0
82,1997-11-18,1.0,2200.0,5.692500000000001,77.9,22.60342437014505,0.6367499999999999,0.32,37.375,47.98,14.997124999999995,270.25,15.0
92,1997-11-19,1.0,2200.0,0.0,4.69,17.109837628973953,0.0,0.41,68.625,3.01,0.2205,88.43,15.0
93,1997-11-19,1.0,2200.0,2.6085,25.6,20.670563419038142,1.97175,0.34,68.625,33.74,8.761000000000001,173.5,15.0
94,1997-11-19,1.0,2200.0,5.33225,12.27,18.207416383444755,3.57275,0.32,72.5,6.87,4.28575,22.76,15.0
96,1997-11-19,1.0,2200.0,0.0,10.28,17.431715204367848,0.0,0.43,58.75,45.2,10.493125000000004,112.46,15.0
102,1997-11-20,1.0,2200.0,2.6085,11.38,19.573731590114544,0.0,0.35,88.875,25.74,1.9835,155.33,15.0
104,1997-11-20,1.0,2200.0,1.48325,5.6,19.658147051249266,1.48325,0.38,77.375,0.89,0.0,76.77,15.0
106,1997-11-20,1.0,2200.0,1.004875,7.41,17.582435488546462,1.004875,0.43,74.625,44.45,0.433875,112.9,15.0
107,1997-11-20,1.0,2200.0,4.172625,9.91,17.052501358324914,0.45875,0.34,86.5,5.22,0.61225,16.3,15.0
109,1997-11-21,1.0,2200.0,2.776625,9.18,17.39992368699708,1.77175,0.44,59.125,10.93,0.0,100.42,15.0
115,1997-11-21,1.0,2200.0,1.97175,11.38,18.42911468185621,0.0,0.33,67.625,10.74,0.0,97.39,15.0
116,1997-11-21,1.0,2200.0,4.256875,8.37,19.704244843137587,2.773625,0.38,70.125,0.22,0.0,71.48,15.0
117,1997-11-21,1.0,2200.0,5.773499999999999,11.35,17.032715232871098,1.74175,0.34,65.75,4.9,0.0,15.75,15.0
122,1997-11-22,1.0,2200.0,2.776625,5.29,17.149368292550434,0.0,0.45,25.5,0.43,0.0,60.66,15.0
125,1997-11-22,1.0,2200.0,2.2005,7.96,16.027169394511493,0.0,0.36,32.0,0.7,0.0835,8.68,15.0
126,1997-11-22,1.0,2200.0,4.256875,6.34,16.264198458160433,0.0,0.43,33.875,0.0,0.0,61.12,15.0
128,1997-11-22,1.0,2200.0,0.0,7.66,18.099039734002872,0.0,0.34,45.625,1.98,0.0,58.72,15.0
131,1997-11-23,1.0,2200.0,3.93425,9.73,16.512569751538685,2.19275,0.35,39.625,2.03,1.942125,9.51,15.0
133,1997-11-23,1.0,2200.0,2.773625,4.26,16.105396196428174,0.0,0.44,39.375,0.0,0.0,3.01,15.0
134,1997-11-23,1.0,2200.0,0.0,2.61,17.806519352534703,0.0,0.35,26.625,0.0,0.0,35.73,15.0
136,1997-11-23,1.0,2200.0,1.77175,2.78,16.96690898187568,0.0,0.45,34.125,0.0,0.0,45.63,15.0
139,1997-11-24,1.0,2200.0,0.0,2.61,15.401062483084583,0.0,0.49,66.125,0.0,0.0,25.74,15.0
141,1997-11-24,1.0,2200.0,0.0,4.26,15.967577827546933,0.0,0.45,61.625,0.0,0.0,0.89,15.0
142,1997-11-24,1.0,2200.0,0.0,2.78,16.33577462099104,0.0,0.46,50.125,0.0,0.0,44.45,15.0
148,1997-11-24,1.0,2200.0,2.19275,8.11,15.725371361123404,0.0,0.37,51.875,3.43,1.406625,8.65,15.0
151,1997-11-25,2.0,2400.0,3.528375,7.79,18.31388422525506,3.528375,0.37,88.125,0.01,0.01125,0.23,15.0
154,1997-11-25,2.0,2400.0,5.4510000000000005,11.22,17.355546539764266,3.258125,0.27,96.375,3.35,0.0,8.33,15.0
156,1997-11-25,2.0,2400.0,1.4215,4.2,17.8618383100572,1.4215,0.41,86.125,0.01,0.00575,10.93,15.0
161,1997-11-26,1.0,2400.0,2.299375,5.08,17.730130987903017,0.877875,0.42,75.25,0.05,0.04025,0.48,15.0
163,1997-11-26,1.0,2400.0,4.736750000000002,8.99,18.18489094221616,1.208375,0.37,82.0,0.12,0.108875,0.12,15.0
164,1997-11-26,1.0,2400.0,4.585,8.98,16.67453833901743,1.326875,0.29,83.125,1.48,0.07575,4.12,15.0
167,1997-11-27,1.0,2400.0,2.299375,4.07,17.567389459817623,0.0,0.42,90.625,0.05,0.0,0.05,15.0
172,1997-11-27,1.0,2400.0,4.585,8.52,16.058398577050763,0.0,0.3,97.375,0.16,0.0875,3.6,15.0
174,1997-11-27,1.0,2400.0,4.736750000000002,7.51,17.587882401927107,0.0,0.37,88.875,0.26,0.137375,0.26,15.0
176,1997-11-28,1.0,2400.0,3.92075,5.34,19.983179623832484,3.042875,0.4,90.0,0.36,0.322375,0.37,15.0
180,1997-11-28,1.0,2400.0,1.326875,6.78,15.757351308192588,0.0,0.38,97.5,0.34,0.1747499999999999,3.77,15.0
181,1997-11-28,1.0,2400.0,5.3911250000000015,8.92,19.532179245098533,4.182625,0.36,92.75,0.25,0.0,0.26,15.0
186,1997-11-29,1.0,2400.0,4.395499999999998,6.69,18.859934529108973,1.35275,0.41,87.75,0.71,0.38875,0.76,15.0
192,1997-11-29,1.0,2400.0,0.0,6.78,15.26485365686282,0.0,0.39,95.875,0.4,0.134125,3.82,15.0
193,1997-11-29,1.0,2400.0,5.370625,10.11,18.91368311323538,1.1880000000000002,0.37,82.125,2.33,2.191125,2.45,15.0
198,1997-11-30,2.0,2200.0,1.0775,1.08,14.175677736375274,1.0775,0.53,95.875,0.0,0.0,0.0,15.0
199,1997-11-30,2.0,2200.0,4.395499999999998,6.69,18.46784404300972,0.0,0.42,82.875,8.45,7.741249999999999,8.5,15.0
201,1997-11-30,2.0,2200.0,7.595874999999999,12.33,21.41838776164949,2.22525,0.35,75.125,8.15,5.958875,8.41,15.0
202,1997-11-30,2.0,2200.0,4.530375,9.12,21.19503770262792,4.530375,0.26,92.0,11.86,11.548875,13.43,15.0
204,1997-12-01,2.0,2200.0,10.242,14.83,16.375442447047313,5.71175,0.3,89.125,17.08,5.39425,17.42,15.0
210,1997-12-01,2.0,2200.0,1.35275,6.69,18.280018767053512,0.0,0.42,79.25,9.24,1.109,9.61,15.0
211,1997-12-01,2.0,2200.0,10.135375,10.14,19.59801695160501,9.058125,0.42,86.0,1.0,1.0025,1.0,15.0
212,1997-12-01,2.0,2200.0,6.2555000000000005,15.18,19.847961788250707,2.8425,0.29,73.875,8.18,0.027,8.43,15.0
216,1997-12-02,2.0,2200.0,6.502249999999999,11.78,21.87713918266084,6.502249999999999,0.33,79.625,25.21,16.357125,25.96,15.0
217,1997-12-02,2.0,2200.0,12.504,19.08,27.47357241573857,7.43625,0.34,78.625,14.39,8.408875,16.83,15.0
222,1997-12-02,3.0,2000.0,20.885875,20.89,20.666567553893536,10.750374999999998,0.43,91.125,58.83,57.8255,58.83,15.0
226,1997-12-02,2.0,2200.0,19.0315,20.36,20.087444951305507,8.78975,0.28,92.125,37.08,20.132625,37.55,15.0
227,1997-12-03,2.0,2400.0,15.939124999999995,23.54,25.83890684996628,5.660625,0.29,70.5,14.68,6.242125,22.97,15.0
228,1997-12-03,2.0,2400.0,7.591499999999999,11.99,17.807349025994576,1.08925,0.44,65.375,37.19,19.725,45.64,15.0
230,1997-12-03,3.0,2200.0,21.74075,22.82,18.50107594985813,1.932125,0.45,90.625,109.26,50.428625,109.26,15.0
232,1997-12-03,2.0,2400.0,22.09375,26.62,22.147679158218125,7.592875000000001,0.27,80.625,53.43,27.90225000000001,65.37,15.0
238,1997-12-04,2.0,2400.0,13.096749999999998,23.54,25.310745312512,0.0,0.29,74.875,14.65,0.0,22.83,15.0
241,1997-12-04,2.0,2400.0,7.591499999999999,11.99,17.561110962384742,0.0,0.45,68.375,36.08,0.0,45.64,15.0
247,1997-12-04,3.0,2200.0,12.682625,22.82,17.640390884209015,0.0,0.47,77.375,109.39,1.131,110.39,15.0
248,1997-12-04,2.0,2400.0,17.292875000000002,27.54,19.68935463133082,0.910625,0.18,87.75,50.92,2.888625,68.18,15.0
253,1997-12-05,3.0,2200.0,1.932125,22.82,16.315101975697342,0.0,0.49,54.5,51.79,0.23,110.62,15.0
254,1997-12-05,3.0,2200.0,5.660625,19.35,24.95567434391429,0.0,0.3,43.0,6.24,0.0,22.83,15.0
256,1997-12-05,3.0,2200.0,1.08925,8.94,16.84387101467457,0.0,0.45,41.75,19.73,0.0069999999999999,45.33,15.0
257,1997-12-05,3.0,2200.0,16.974375,37.76,27.413080067749423,1.39275,0.28,53.25,19.44,0.0,73.79,15.0
260,1997-12-05,3.0,2200.0,8.5035,27.54,19.037782260212552,0.0,0.3,42.625,30.79,0.0,68.0,15.0
264,1997-12-06,3.0,2400.0,2.88,29.5,18.343800799632152,1.969375,0.2,70.125,6.28,3.393,71.26,15.0
269,1997-12-06,3.0,2400.0,0.0,18.16,22.946137896277108,0.0,0.3,58.875,0.0,0.0,20.64,15.0
271,1997-12-06,3.0,2400.0,0.0,7.59,16.659787120848357,0.0,0.46,57.375,4.91,4.903625,49.84,15.0
274,1997-12-07,3.0,2400.0,6.406875,29.41,19.56881069428512,4.437375,0.2,62.25,4.59,1.1960000000000002,60.91,15.0
276,1997-12-07,2.0,2400.0,0.0,7.59,16.50103687385032,0.0,0.46,58.625,6.99,2.08075,44.18,15.0
278,1997-12-07,2.0,2400.0,0.0,15.94,24.72029918353413,0.0,0.3,62.25,0.0,0.0,14.68,15.0
282,1997-12-08,2.0,2400.0,0.0,13.1,22.880878106552228,0.0,0.3,73.0,0.0,0.0,14.65,15.0
288,1997-12-08,2.0,2400.0,0.0,7.59,16.349127073376224,0.0,0.47,73.5,6.98,0.0,43.07,15.0
289,1997-12-08,3.0,2400.0,7.12475,24.42,17.79889575410246,0.717875,0.2,85.875,4.59,0.0,55.51,15.0
291,1997-12-09,2.0,2400.0,0.0,5.66,22.3869117661516,0.0,0.3,57.125,0.0,0.0,6.24,15.0
294,1997-12-09,2.0,2400.0,5.15525,15.63,17.178954566936365,0.0,0.22,54.125,1.2,0.0,35.38,15.0
297,1997-12-09,2.0,2400.0,2.556,3.65,17.743254244038372,2.556,0.36,53.625,3.3,1.217125,27.93,15.0
299,1997-12-10,2.0,2400.0,2.622375,9.94,17.289284514048386,1.904375,0.19,87.0,0.76,0.7637499999999999,8.24,15.0
300,1997-12-10,2.0,2400.0,5.1995,5.2,21.40771211082989,5.1995,0.31,74.625,8.81,8.808125,8.81,15.0
301,1997-12-10,2.0,2400.0,2.556,2.56,17.627957150155314,0.0,0.36,77.75,3.17,1.9516250000000004,10.16,15.0
308,1997-12-10,3.0,2000.0,10.263749999999998,11.78,23.308500062796288,5.66675,0.37,79.625,2.68,1.8883750000000004,3.68,15.0
315,1997-12-11,2.0,2200.0,5.0355,12.16,19.98759477681176,3.131,0.21,92.625,3.94,3.17225,8.52,15.0
320,1997-12-11,3.0,2000.0,8.88675,8.89,21.591907231663807,8.88675,0.42,94.875,27.53,22.32125,30.67,15.0
321,1997-12-11,3.0,2000.0,2.31475,3.71,18.92440415594801,0.5680000000000001,0.32,81.25,5.27,1.7454999999999996,8.04,15.0
323,1997-12-11,3.0,2000.0,17.487375,17.49,24.267228542731285,7.2235,0.28,87.75,10.07,7.38625,10.09,15.0
324,1997-12-11,2.0,2200.0,2.556,2.56,17.409243835757664,0.0,0.37,79.5,3.25,0.07925,10.24,15.0
326,1997-12-11,2.0,2200.0,10.690375,10.69,24.83784724706107,5.4910000000000005,0.31,81.25,21.99,13.177375,21.99,15.0
331,1997-12-12,2.0,2200.0,25.479875,28.04,54.92958639846247,25.479875,0.37,85.125,41.98,39.949125,50.18,15.0
332,1997-12-12,3.0,2000.0,40.94125,40.94,23.65545927773108,32.0545,0.25,94.5,139.91,113.530125,143.97,15.0
342,1997-12-12,2.0,2200.0,12.84275,19.97,24.26121472069531,7.807375,0.17,96.5,5.89,1.957875,10.48,15.0
344,1997-12-12,3.0,2000.0,32.111375,36.71,31.30672335793036,19.220875,0.21,91.0,68.19,58.914875,68.98,15.0
349,1997-12-12,3.0,2000.0,17.397875,17.4,36.26473571140362,15.083249999999998,0.25,90.625,28.9,23.987625,32.03,15.0
350,1997-12-12,2.0,2200.0,26.09275,26.09,47.18088684383378,15.40225,0.29,77.625,70.56,48.5765,70.56,15.0
359,1997-12-13,3.0,2000.0,58.29925,58.3,20.6734336904907,17.358000000000004,0.3,83.875,177.94,42.08424999999999,183.24,15.0
360,1997-12-13,3.0,2000.0,13.761125000000002,20.82,21.25097786720322,2.823,0.18,73.75,22.57,17.43975,24.53,15.0
365,1997-12-13,3.0,1800.0,54.8875,65.15,35.351637771400874,28.44275,0.24,88.375,127.44,61.139375,130.12,15.0
367,1997-12-13,3.0,2000.0,55.3155,60.62,32.6550561252674,15.59975,0.18,89.625,209.17,63.62024999999999,222.17,15.0
369,1997-12-13,3.0,2000.0,24.545375,26.29,27.847928190423783,8.894,0.26,88.125,51.01,25.276,55.63,15.0
373,1997-12-13,3.0,2000.0,40.225625,45.43,38.909009115913975,19.332625,0.22,66.5,79.64,17.888125000000006,88.45,15.0
374,1997-12-13,3.0,2000.0,46.279125,48.84,40.025380902839295,20.79925,0.19,71.875,72.94,32.915,78.19,15.0
378,1997-12-14,3.0,2000.0,60.51625,78.0,33.09355607407039,12.8525,0.21,86.25,127.73,7.678500000000001,137.8,15.0
382,1997-12-14,3.0,2000.0,52.359625,54.92,32.323796922355555,6.0805,0.19,66.0,83.99,11.125125,87.24,15.0
385,1997-12-14,3.0,2000.0,54.25075,63.14,21.910501540584512,4.838,0.33,90.75,159.43,3.818,186.96,15.0
390,1997-12-14,3.0,2000.0,61.815125,70.62,31.536134682003283,10.003125,0.19,89.25,198.68,16.603125,238.54,15.0
391,1997-12-14,3.0,2000.0,38.08162500000001,48.77,30.78748243174714,3.347,0.23,71.0,67.21,0.742,89.19,15.0
392,1997-12-14,3.0,2000.0,11.412125,17.17,19.81881479769909,0.781875,0.19,76.125,24.1,4.697874999999999,28.03,15.0
393,1997-12-14,3.0,2000.0,27.24025,29.55,26.23479425092174,3.262875,0.27,86.5,53.88,4.6186250000000015,59.15,15.0
397,1997-12-15,3.0,2000.0,5.8042500000000015,18.65,19.67860980613548,2.19925,0.19,74.125,22.25,0.1145,28.15,15.0
398,1997-12-15,3.0,2000.0,29.4295,74.45,30.27313708679107,3.826625,0.2,73.5,82.12,1.897125,240.44,15.0
401,1997-12-15,3.0,2000.0,22.6795,48.77,29.17259459252332,0.0,0.24,64.5,18.85,0.2235,89.42,15.0
402,1997-12-15,3.0,2000.0,42.55375,79.26,28.874208321573125,1.258375,0.26,65.25,73.55,4.734,142.53,15.0
403,1997-12-15,3.0,2000.0,26.87975,54.92,29.44709593983476,0.0,0.2,60.125,45.11,1.07225,88.31,15.0
408,1997-12-15,3.0,2000.0,15.061875,32.46,25.55297920644043,2.90525,0.28,76.75,39.57,9.67875,68.83,15.0
409,1997-12-15,3.0,2000.0,24.645875,65.59,20.422624249839767,2.449875,0.41,77.625,47.04,1.137875,188.1,15.0
421,1997-12-16,3.0,2000.0,7.708875000000001,34.0,23.24551092596445,1.541,0.29,73.625,51.55,37.2515,105.73,15.0
422,1997-12-16,3.0,2000.0,14.111,74.66,25.49974975791131,0.0,0.28,60.5,26.11,13.698125,155.44,15.0
429,1997-12-16,3.0,2000.0,7.287875,65.59,17.231450278105854,0.0,0.47,85.75,12.78,7.8203749999999985,194.77,15.0
433,1997-12-16,3.0,2000.0,5.746624999999999,21.41,19.65717202067689,2.7655000000000003,0.19,90.375,15.65,10.834,38.98,15.0
436,1997-12-16,3.0,2000.0,4.88375,50.31,31.29091212046589,1.53675,0.15,84.75,1.31,0.341875,89.76,15.0
439,1997-12-16,3.0,2000.0,6.920375,53.2,27.969273672627693,0.839875,0.19,82.625,13.89,1.691125,88.78,15.0
444,1997-12-16,3.0,2000.0,15.025624999999998,72.82,22.026950142298347,1.195875,0.22,77.0,26.44,7.944125,245.94,15.0
448,1997-12-17,3.0,2000.0,16.947875,31.49,27.26466163943941,11.983125,0.19,100.0,25.0,14.053,52.27,15.0
454,1997-12-17,3.0,2000.0,10.7085,54.28,28.736023018774578,9.17175,0.18,96.375,1.1,0.531125,81.48,15.0
456,1997-12-17,3.0,2000.0,5.022500000000001,70.34,16.102988357211963,0.0,0.27,79.25,10.9,1.0556249999999998,236.67,15.0
461,1997-12-17,3.0,2000.0,4.446125,32.25,17.943277193344915,0.0,0.34,76.375,82.55,35.618375,138.18,15.0
464,1997-12-17,3.0,2000.0,2.449875,65.59,14.810067212091983,0.0,0.53,94.0,10.82,1.8635,192.58,15.0
467,1997-12-17,3.0,2000.0,1.258375,69.0,19.017499015585123,0.0,0.31,68.375,18.69,0.254375,153.81,15.0
468,1997-12-17,3.0,2000.0,11.5085,63.87,28.812297272014984,10.668625,0.12,93.625,12.01,9.247375,96.08,15.0
470,1997-12-18,4.0,1800.0,1.195875,66.84,14.273906014526071,0.0,0.3,79.875,9.0,0.0,209.58,15.0
473,1997-12-18,3.0,2000.0,0.0,61.77,17.630848303351648,0.0,0.33,70.125,13.95,0.0,146.42,15.0
480,1997-12-18,4.0,1800.0,3.75825,60.46,15.626834291333134,3.75825,0.51,94.125,10.8,1.1140000000000003,171.37,15.0
482,1997-12-18,3.0,2000.0,20.946375,73.31,32.12068646083144,9.438,0.12,94.5,12.41,1.472625,97.47,15.0
483,1997-12-18,4.0,1800.0,1.541,31.69,17.329906920517587,0.0,0.36,75.25,78.13,5.26175,141.69,15.0
487,1997-12-18,3.0,2000.0,22.83875,60.92,33.33481141883683,12.13,0.19,96.375,5.86,4.98925,73.29,15.0
489,1997-12-18,4.0,1800.0,20.42125,34.03,22.272099505715,5.672499999999999,0.2,100.0,29.0,4.1156250000000005,53.21,15.0
496,1997-12-19,3.0,2000.0,31.13525000000001,39.7,32.66476724775178,13.479625,0.11,100.0,18.17,0.0,51.25,15.0
500,1997-12-19,4.0,1800.0,18.50025,35.1,33.44231964135599,18.50025,0.11,90.25,41.32,0.44075,118.15,15.0
501,1997-12-19,4.0,1800.0,40.88625,65.53,38.82272498111704,37.12775,0.14,96.625,3.96,0.9795,58.82,15.0
504,1997-12-19,3.0,2000.0,51.81399999999999,79.53,41.19713612727835,31.707500000000003,0.13,95.25,10.76,0.04025,57.56,15.0
511,1997-12-19,4.0,1800.0,14.667,45.29,27.643745398662663,14.667,0.21,95.125,2.82,1.7657500000000002,92.89,15.0
513,1997-12-19,3.0,2000.0,49.540375,73.76,37.25325314442015,28.23825,0.1,98.5,10.99,5.473375000000001,30.19,15.0
514,1997-12-19,3.0,2000.0,4.10375,46.66,21.28088125827712,4.10375,0.3,85.125,3.97,3.7115,91.22,15.0
521,1997-12-20,4.0,1800.0,78.40712500000002,85.69,32.65870521684475,37.521125,0.17,97.125,17.28,15.1915,31.92,15.0
522,1997-12-20,4.0,1800.0,45.6305,53.34,29.05585509476249,27.13000000000001,0.13,77.875,6.04,0.33425,93.2,15.0
525,1997-12-20,4.0,1800.0,33.103625,48.13,25.64713992111007,18.436875,0.22,93.75,14.81,13.0465,42.31,15.0
529,1997-12-20,3.0,2000.0,17.7145,31.83,26.73736122073074,13.610625000000002,0.28,92.375,10.7,6.986875,37.06,15.0
530,1997-12-20,4.0,1800.0,43.41025,61.14,27.40804026970761,24.25800000000001,0.21,100.0,4.12,0.0,33.81,15.0
542,1997-12-20,3.0,2000.0,70.458125,84.51,31.593774418753604,30.089625000000005,0.13,96.0,10.46,0.0,12.3,15.0
543,1997-12-20,3.0,2000.0,74.31,91.9,35.92733307131315,33.164625,0.15,92.5,1.51,0.0,24.65,15.0
544,1997-12-21,3.0,2200.0,45.52125,50.54,28.60909360414063,12.41775,0.22,93.5,81.02,66.20575,91.91,15.0
546,1997-12-21,3.0,2200.0,36.380375,37.64,35.11469911877176,18.666,0.23,92.625,10.89,0.18975,29.57,15.0
551,1997-12-21,3.0,2200.0,69.76374999999999,92.6,28.87961414338743,11.4355,0.19,86.125,5.47,0.0,11.56,15.0
554,1997-12-21,3.0,2200.0,42.43075,65.05,23.557083968252325,4.693125,0.23,100.0,0.0,0.0,29.12,15.0
555,1997-12-21,3.0,2200.0,81.748375,102.7,33.08291033796817,16.876499999999997,0.17,91.0,0.04,0.0,13.52,15.0
560,1997-12-21,3.0,2200.0,54.42925,58.88,27.122591568791428,8.798875,0.14,83.5,0.77,0.0,88.59,15.0
561,1997-12-21,3.0,2200.0,93.4925,99.7,33.107153105248585,18.843375000000005,0.18,95.75,84.35,68.175625,96.28,15.0
566,1997-12-22,3.0,2000.0,43.464,47.57,27.97214919584687,11.18725,0.33,73.75,9.68,2.5045,27.35,15.0
569,1997-12-22,3.0,2000.0,56.41562499999999,109.07,28.062290437937182,6.37475,0.18,79.375,0.24,0.23925,12.69,15.0
576,1997-12-22,3.0,2000.0,33.8875,49.75,23.3709491284424,3.033,0.24,63.375,109.19,29.940375,119.96,15.0
579,1997-12-22,3.0,2000.0,62.09775000000001,102.98,26.47131218813961,5.73325,0.2,68.5,118.22,34.856,130.0,15.0
580,1997-12-22,3.0,2000.0,38.650125,58.69,22.80175095580865,2.721,0.16,57.375,0.33,0.0,78.91,15.0
583,1997-12-22,3.0,2000.0,32.38675,66.29,22.34894915774012,3.43575,0.25,76.5,0.25,0.251375,29.25,15.0
585,1997-12-22,3.0,2000.0,42.53925,93.62,24.83989731646618,1.014,0.21,67.75,0.0,0.0,11.34,15.0
591,1997-12-23,3.0,2000.0,26.9025,111.88,25.78778869273931,3.6515,0.19,74.25,8.31,8.068000000000001,19.07,15.0
592,1997-12-23,3.0,2000.0,15.475875,61.11,23.13766337964604,3.955875,0.16,65.875,4.68,4.676,46.33,15.0
593,1997-12-23,3.0,2000.0,31.48075,109.89,28.52493551784935,6.903875,0.2,75.625,126.68,23.647125,145.83,15.0
596,1997-12-23,3.0,2000.0,11.143875,66.54,22.335052313121864,3.014875,0.26,84.5,1.18,0.9247500000000002,19.34,15.0
601,1997-12-23,3.0,2000.0,33.844750000000005,51.56,28.342150806139284,3.99125,0.37,78.875,13.57,10.87375,24.52,15.0
602,1997-12-23,3.0,2000.0,16.545625,96.18,25.877517852829666,4.096,0.21,71.625,3.56,3.5620000000000007,14.56,15.0
605,1997-12-23,3.0,2000.0,15.450625,48.55,21.077903059760192,0.0,0.25,67.75,98.7,2.555625,114.57,15.0
616,1997-12-24,3.0,2200.0,7.752125,55.86,19.77675424717761,1.301375,0.28,49.625,2.15,0.973875,6.27,15.0
619,1997-12-24,3.0,2200.0,6.9365,88.83,23.738747564272924,1.8265,0.22,49.875,4.96,1.396375,15.42,15.0
623,1997-12-24,3.0,2200.0,3.033,48.55,19.229749388540487,0.0,0.27,58.0,38.75,6.252875,119.77,15.0
625,1997-12-24,3.0,2200.0,16.764000000000006,53.14,23.54647176806529,1.585375,0.3,54.625,19.74,6.364000000000001,30.63,15.0
630,1997-12-24,3.0,2200.0,14.311125,111.56,25.51613500610343,1.6740000000000002,0.29,64.0,77.71,19.203625,163.17,15.0
631,1997-12-24,3.0,2200.0,12.680625,103.87,22.65995593914657,2.65475,0.2,49.0,17.57,9.26525,19.09,15.0
634,1997-12-24,3.0,2200.0,6.9696250000000015,61.4,20.68511156336555,0.29275,0.4,55.875,6.85,2.173875,12.89,15.0
637,1997-12-25,2.0,2200.0,5.5310000000000015,51.4,19.14930918708177,1.214875,0.29,86.25,12.58,10.678125,12.83,15.0
641,1997-12-25,3.0,2200.0,10.87175,58.44,33.05264815822102,5.295,0.38,74.25,19.23,1.991375,32.62,15.0
642,1997-12-25,3.0,2200.0,9.129875,97.25,24.162505121041026,2.823875,0.2,75.75,21.51,4.172125,21.78,15.0
649,1997-12-25,2.0,2200.0,5.5745000000000005,62.72,23.54657597972377,1.32575,0.39,76.125,10.17,3.3243750000000003,10.95,15.0
650,1997-12-25,2.0,2200.0,0.0,48.55,18.00468446639318,0.0,0.27,77.375,15.03,6.217249999999999,125.98,15.0
652,1997-12-25,3.0,2200.0,6.818250000000001,77.6,24.079490888562297,0.89575,0.22,78.625,8.37,3.40675,13.84,15.0
653,1997-12-25,2.0,2200.0,9.603625,108.83,19.913934045180227,1.02575,0.33,92.375,51.23,8.375625,170.43,15.0
660,1997-12-26,2.0,2200.0,4.62975,38.52,23.89065725305269,4.62975,0.24,78.5,23.41,10.94475,135.16,15.0
662,1997-12-26,3.0,2200.0,22.061875,69.52,30.7763393755656,15.181625,0.35,84.875,15.41,7.0500000000000025,35.96,15.0
664,1997-12-26,3.0,2200.0,13.19575,73.26,26.40006871514805,7.7171249999999985,0.2,70.0,21.9,8.45775,30.2,15.0
